Crys,-13.75,66.67,0.0,6.0
vdcollectionpr,-14.58,7.69,0.0,3.0
Losingtoomucx,-14.64,1.89,0.0,3.0
UpToDaMoon,-14.8,13.16,1.0,4.0
CavScout1969,-14.94,18.18,3.0,3.0
Nursejamee,-15.78,2.6,1.0,3.0
Donny7,-15.98,1.33,0.0,3.0
Bulldaddyjack,-16.9,3.64,1.0,1.0
Kimochii,-16.95,1.59,1.0,1.0
Daspooo,-17.02,9.09,0.0,1.0
JASHMORE,-17.02,2.94,0.0,1.0
Cafunk,-17.02,3.12,0.0,1.0
BennyBlanco10,-17.02,10.0,0.0,1.0
davegoldo,-17.02,3.57,0.0,1.0
mknepp,-17.45,12.5,1.0,5.0
tradesforridd,-17.52,27.91,13.0,11.0
JUVECR7,-18.12,8.57,0.0,3.0
SincerityUnit,-18.81,6.33,0.0,5.0
Indeep,-19.28,24.14,0.0,7.0
UsedHorse,-20.02,3.66,0.0,3.0
avio,-21.18,9.09,0.0,2.0
GreenTree5,-21.31,5.48,0.0,4.0
RubberDuck13,-24.83,85.71,3.0,3.0
Limeiscool,-26.4,1.45,3.0,1.0
MiscManiac,-29.52,11.49,5.0,5.0
LLYW,-34.68,6.48,1.0,6.0
Makkaz,-34.98,1.68,1.0,1.0
DiegoCash,-37.72,100.0,1.0,2.0
ehernandez53,-38.04,20.93,5.0,4.0
wellmaybenow,-38.74,0.37,0.0,1.0
john3335,-38.74,0.97,0.0,1.0
JDEZ09,-38.74,1.25,0.0,1.0
lxnr,-38.74,10.0,0.0,1.0
hobojoe123,-38.74,42.86,1.0,2.0
shivo17,-38.81,1.04,0.0,2.0
Vecicka,-41.14,28.85,9.0,21.0
ThirdEye2020,-62.41,1.33,3.0,1.0
tashortie,-67.67,30.3,2.0,8.0
ObserverofGreatness,-73.32,4.17,0.0,1.0
MBCmbc,-73.32,2.08,0.0,1.0
Amood1,-76.66,79.31,16.0,7.0
Therocket,-85.12,13.89,0.0,5.0
TNDManiac1981,-107.7,4.8,3.0,3.0
HamburgerJung71,-188.12,71.67,18.0,25.0
Titans18,-188.79,3.23,2.0,5.0
Laddimyr,-237.99,34.29,2.0,10.0
lucidvision,-240.17,10.81,16.0,36.0
StockEwok,-291.67,11.59,10.0,22.0
